Pv_tag,Tag,T1,T2,X,Y,Family,Species,DBH0,DBH1,F2,Plot,SpecimenID,*Accession Numbers,*Barcodes,CollectorString,CollectionNumber,*FullName,UpperName,LowerName,Locality,ElevationDisplay,*Coordinate Display,LatitudeDecimal,LongitudeDecimal,Date Display,*Institutions,DeterminationYear,DeterminationBy,Description,plot.genus,spec.genus
325,153,1974,3-Mar,79,82.5,Meliaceae,Guarea macrophylla,204,204,1,MNU_01,2830794,3184441,MO-1122150,Alwyn H. Gentry,34387,Guarea macrophylla subsp. pachycarpa (C. DC.) T.D. Penn.,Madre de Dios,NA,"Cocha Cashu Biological Station, Manu National Park. Tropical moist forest on alluvial flood plain. Tree plot.",400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,NA,MO,NA,NA,"Tree #325, 15.9 cm dbh, buds cream.",Guarea,Guarea
NA,1,new,3-Jan,5,62.5,Malvaceae,Luehea cymulosa,642,642,1,MNU_01,181208,3154803,MO-1461911,Alwyn H. Gentry,43295,Luehea cymulosa Spruce ex Benth.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/2/1983,MO,1987,"R. Foster,","Tree #1 ca. 50 cm dbh, sterile.",Luehea,Luehea
40,312,1974,3-Feb,32.5,72.5,Moraceae,Poulsenia armata,225,225,1,MNU_01,711127,3154798,MO-1519875,Alwyn H. Gentry,43311,Poulsenia armata (Miq.) Standl.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/2/1983,MO,1992,C.C.Berg,"Tree #40, 13.6 cm dbh, sterile.",Poulsenia,Poulsenia
41,331,1974,3-Jan,26,75.5,Myristicaceae,Iryanthera juruensis,253,253,1,MNU_01,758761,3154783,MO-1504396,Alwyn H. Gentry,43317,Iryanthera juruensis Warb.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/2/1983,MO,2005,"R. Foster (F),","Tree #41, 11.2 cm dbh, sterile.",Iryanthera,Iryanthera
52,363,1974,3-Jan,9,90,Annonaceae,Unonopsis matthewsii,145,145,1,MNU_01,757149,3183043,MO-2029485,Alwyn H. Gentry,43337,Unonopsis R.E. Fr.,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/4/1983,MO,2006,"P. Maas & L. Westra (U),","Tree #52, 14.8 cm dbh, small buds.",Unonopsis,Unonopsis
70,339,1974,3-Jan,22.5,83,Moraceae,Clarisia racemosa,473,473,1,MNU_01,407329,3183036,MO-1408738,Alwyn H. Gentry,43344,Clarisia racemosa Ruiz & Pav.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.8666667,-71.3666667,8/4/1983,MO,1984,"A. Gentry,","Tree #70, 40.4 cm dbh, young buds, white latex, bark with raised puncticulations (cf. Lauraceae).",Clarisia,Clarisia
87,431,1974,4-Feb,46.5,91,Fabaceae,Andira inermis,232,232,1,MNU_01,91892,3183033,MO-1281463,Alwyn H. Gentry,43349,Andira inermis (W. Wright) Kunth ex DC. subsp. inermis,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/4/1983,MO,1994,"R.T. Pennington (FHO),","Tree #87, 21.8 cm dbh, sterile.",Andira,Andira
179,389,1974,4-Feb,45,115.5,Sapotaceae,Pouteria ephedrantha,132,132,1,MNU_01,407352,3183021,MO-1994565,Alwyn H. Gentry,43363,Pouteria ephedrantha (A.C. Sm.) T.D. Penn.,Madre de Dios,NA,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/5/1983,MO,NA,NA,"Tree #179, 10.1 cm dbh, sterile.",Pouteria,Pouteria
136,375,1974,4-Jan,29,115,Moraceae,Pseudolmedia laevis,314,314,1,MNU_01,711294,3183016,MO-1513457,Alwyn H. Gentry,43368,Pseudolmedia laevis (Ruiz & Pav.) J.F. Macbr.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/5/1983,MO,1992,C.C.Berg,"Tree #136, 25.5 cm dbh, sterile.",Pseudolmedia,Pseudolmedia
111,347,1974,4-Jan,29.5,93,Myristicaceae,Iryanthera olacoides,239,239,1,MNU_01,758869,3183078,MO-1504411,Alwyn H. Gentry,43372,Iryanthera olacoides (A.C. Sm.) A.C. Sm.,Madre de Dios,Manu,Cocha Cashu Biological Station. Manu National Park. Tropical moist forest on alluvial flood plain. Tree Plot.,400 m,11<U+00B0>52'S 071<U+00B0>22'W,-11.86666,-71.36666,8/5/1983,MO,1986,"W. Rodrigues,","Tree #111, 12.2 cm dbh, sterile.",Iryanthera,Iryanthera
