Plot,Tag,Family,Species,Month,year,CollectionNumber,CollectorString,sterile_collection,tropicos_species
TAM_01,40,Fabaceae,Tachigali polyphylla,5,1987,57605,Alwyn H. Gentry,1,Tachigali polyphylla
TAM_01,71,Fabaceae,Tachigali polyphylla,5,1987,57561,Alwyn H. Gentry,1,Tachigali polyphylla
TAM_01,82,Moraceae,Brosimum lactescens,9,2003,6155,Abel Monteagudo,1,Brosimum lactescens
TAM_01,82,Moraceae,Brosimum lactescens,5,1987,57591,Alwyn H. Gentry,1,Brosimum lactescens
TAM_01,172,Sabiaceae,Meliosma herbertii,5,1987,57687,Alwyn H. Gentry,1,Meliosma herbertii
TAM_01,185,Lecythidaceae,Eschweilera coriacea,5,1987,57682,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_01,220,Lecythidaceae,Eschweilera coriacea,5,1987,57611,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_01,242,Sapotaceae,Sarcaulus brasiliensis,5,1987,57861,Alwyn H. Gentry,1,Sarcaulus brasiliensis
TAM_01,260,Moraceae,Helicostylis tomentosa,5,1987,57674,Alwyn H. Gentry,1,Helicostylis tomentosa
TAM_01,297,Malvaceae,Matisia ochrocalyx,5,1987,57676,Alwyn H. Gentry,0,Matisia ochrocalyx
TAM_01,362,Moraceae,Helicostylis tomentosa,5,1987,57771,Alwyn H. Gentry,1,Helicostylis tomentosa
TAM_01,393,Moraceae,Brosimum lactescens,5,1987,57691,Alwyn H. Gentry,1,Brosimum lactescens
TAM_01,454,Myristicaceae,Iryanthera juruensis,5,1987,57753,Alwyn H. Gentry,1,Iryanthera juruensis
TAM_01,537,Myristicaceae,Iryanthera laevis,5,1987,57741,Alwyn H. Gentry,1,Iryanthera laevis
TAM_01,557,Chrysobalanaceae,Licania heteromorpha,5,1987,57738,Alwyn H. Gentry,1,Licania caudata
TAM_02,28,Burseraceae,Protium altissimum,6,1987,58036,Alwyn H. Gentry,1,Tetragastris altissima
TAM_02,99,Sapotaceae,Sarcaulus brasiliensis,6,1987,58040,Alwyn H. Gentry,1,Sarcaulus brasiliensis
TAM_02,118.1,Nyctaginaceae,Neea divaricata,8,2011,22654,Abel Monteagudo,1,Neea divaricata
TAM_02,222,Fabaceae,Hymenaea parvifolia,6,1987,58067,Alwyn H. Gentry,1,Hymenaea parvifolia
TAM_02,232,Malvaceae,Matisia ochrocalyx,8,2011,22665,Abel Monteagudo,1,Matisia ochrocalyx
TAM_02,245,Moraceae,Brosimum lactescens,6,1987,58020,Alwyn H. Gentry,1,Brosimum lactescens
TAM_02,253,Annonaceae,Duguetia spixiana,8,2011,22650,Abel Monteagudo,1,Duguetia spixiana
TAM_02,272,Annonaceae,Oxandra xylopioides,6,1987,58018,Alwyn H. Gentry,0,Oxandra xylopioides
TAM_02,285,Moraceae,Brosimum lactescens,8,2011,22584,Abel Monteagudo,1,Brosimum lactescens
TAM_02,285,Moraceae,Brosimum lactescens,6,1987,58117,Alwyn H. Gentry,1,Brosimum lactescens
TAM_02,297,Sapotaceae,Pouteria torta,6,1987,58119,Alwyn H. Gentry,1,Pouteria torta
TAM_02,316,Moraceae,Pseudolmedia macrophylla,6,1987,58122,Alwyn H. Gentry,1,Pseudolmedia macrophylla
TAM_02,316.2,Malvaceae,Matisia ochrocalyx,8,2011,22589,Abel Monteagudo,1,Matisia ochrocalyx
TAM_02,367,Annonaceae,Oxandra xylopioides,6,1987,58083,Alwyn H. Gentry,1,Oxandra xylopioides
TAM_02,442,Sapotaceae,Pouteria torta,6,1987,58085,Alwyn H. Gentry,0,Pouteria torta
TAM_02,454,Moraceae,Brosimum guianense,6,1987,58155,Alwyn H. Gentry,1,Brosimum guianense
TAM_02,458,Moraceae,Brosimum lactescens,6,1987,58112,Alwyn H. Gentry,1,Brosimum lactescens
TAM_02,471,Fabaceae,Diplotropis purpurea,6,1987,58096,Alwyn H. Gentry,1,Diplotropis purpurea
TAM_02,500,Moraceae,Clarisia racemosa,8,2011,22581,Abel Monteagudo,1,Clarisia racemosa
TAM_02,500,Moraceae,Clarisia racemosa,6,1987,58130,Alwyn H. Gentry,1,Clarisia racemosa
TAM_02,518,Elaeocarpaceae,Sloanea terniflora,9,2003,5938,Abel Monteagudo,1,Sloanea terniflora
TAM_02,518,Elaeocarpaceae,Sloanea terniflora,6,1987,58137,Alwyn H. Gentry,1,Sloanea terniflora
