Plot,Tag,Species,DBH2023,Repetition,Repetition_code,Tree_notes,Stomata_peel,notes
Sendero,AMGU1,Amaioua guianensis,27.1,yes,,,,
Sendero,AMGU2,Amaioua guianensis,27.9,yes,,,,
Sendero,AMGU3,Amaioua guianensis,15,yes,,,,
Sendero,CABR1,Calophyllum brasiliense,13.5,yes,,,,
Sendero,HYPA1,Hymenaea parvifolia,45,yes,,Slightly new leaves,,
Sendero,HYPA2,Hymenaea parvifolia,32.7,yes,,Slightly new leaves,,
Sendero,IRJU1,Iryanthera juruensis,20.5,yes,,Full sun,,
Sendero,POTO1,Pouteria torta,16.5,yes,,,,
Sendero,POTO2,Pouteria torta,58.4,yes,,,,
Sendero,POTO3,Pouteria torta,30.7,yes,,,,
Sendero,PRAL1,Protium altissimum,35.4,yes,,Lakeside,,
Sendero,SABR1,Sarcaulus brasiliensis,14.4,yes,,,,
Sendero,TAPO1,Tachigali polyphylla,49.9,yes,,,,
TAM_01,24,Iryanthera laevis,28.7,,,,1,
TAM_01,40,Tachigali polyphylla,33.4,,,,1,
TAM_01,71,Tachigali polyphylla,27.1,,,,1,
TAM_01,82,Brosimum lactescens,25.3,,,Broken/rebrotes/full sun/leaves huge,1,
TAM_01,96,Brosimum lactescens,33.3,yes,,,,
TAM_01,133,Helicostylis tomentosa,22.4,yes,,,,
TAM_01,144,Hymenaea parvifolia,12.6,yes,,,,
TAM_01,172,Meliosma herbertii,35,,,,1,
TAM_01,178,Siparuna decipiens,11,yes,,,,
TAM_01,185,Eschweilera coriacea,25.7,,,,1,
TAM_01,187,Pseudolmedia macrophylla,27.2,yes,197,,,
TAM_01,191,Matisia ochrocalyx,18.3,yes,,,,
TAM_01,213,Siparuna decipiens,11.7,yes,,,,
TAM_01,220,Eschweilera coriacea,12.1,,,,1,
TAM_01,220.1,Tachigali polyphylla,27.6,yes,TAPO1,,1,tag 220.1
TAM_01,242,Sarcaulus brasiliensis,10.6,,,,1,
TAM_01,260,Helicostylis tomentosa,25.2,,,,1,
TAM_01,297,Matisia ochrocalyx,13.6,,,,1,
TAM_01,299,Brosimum lactescens,27.4,yes,,fresh/new leaves/ no mature leaves,,
TAM_01,349,Siparuna decipiens,12.5,yes,,,,
TAM_01,362,Helicostylis tomentosa,21.6,,,,1,
TAM_01,365,Tachigali polyphylla,19.2,yes,,,1,
TAM_01,393,Brosimum lactescens,55.9,,,,1,
TAM_01,397,Siparuna decipiens,19.1,yes,,,,
TAM_01,415,Pseudolmedia macrophylla,33.5,yes,,,,
TAM_01,429,Pseudolmedia macrophylla,21.2,yes,,,,
TAM_01,436,Hymenaea parvifolia,19.3,yes,,,1,
TAM_01,438,Beilschmiedia pendula,20,yes,,,,
TAM_01,438.2,Tachigali polyphylla,12.1,yes,,,,
TAM_01,454,Iryanthera laevis,14.9,,,,1,
TAM_01,480,Matisia ochrocalyx,13.4,yes,,,,
TAM_01,520,Iryanthera juruensis,20.7,,,,1,
TAM_01,537,Iryanthera laevis,30.5,,,,1,
TAM_01,553,Ocotea bofo,57,yes,,,,
TAM_01,557,Licania heteromorpha,21.5,,,,1,
TAM_01,641,Diplotropis purpurea,20.5,yes,,,1,
TAM_01,42A,Siparuna decipiens,11.5,yes,42A,,1,tag 42.1
TAM_01,44A,Helicostylis tomentosa,11,yes,,,,tag 44.1
TAM_01,577A,Amaioua corymbosa,11.3,yes,,,1,
TAM_01,NEDI1,Neea divaricata,13.8,yes,,tag 414A?,1,
TAM_01,PSMA3,Pseudolmedia macrophylla,42.4,yes,PSMA3,,,
TAM_02,28,Protium altissimum,29,,,,,
TAM_02,45,Tachigali polyphylla,33.3,yes,,,,
TAM_02,61.1,Licania heteromorpha,13.4,yes,,,,
TAM_02,77,Sarcaulus brasiliensis,10.4,yes,,,,
TAM_02,99,Sarcaulus brasiliensis,12.8,,,,1,
TAM_02,118.1,Neea divaricata,15.5,yes,,Check sp. Not N. divaricata,,
TAM_02,190.3,Tachigali polyphylla,14.5,yes,,,,
TAM_02,222,Hymenaea parvifolia,35.6,,,,1,
TAM_02,227,Helicostylis tomentosa,19.4,yes,,,,
TAM_02,232,Matisia ochrocalyx,11.4,yes,,,,
